amplicon	LWR	fract	aLWR	afract	taxopath	TAX1	TAX2	TAX3	TAX4	TAX5	TAX6
d23fccdd1dac655143861475fc17a1d845e575a9;size=33	0.8669	0.867	0.8669	0.867	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
0707632e4ab3e487b3a7d57220702d8f65d25d18;size=102	0.8832	0.8976	0.8832	0.8976	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
c5ea0e9033b265ccb49d30f17ec3a4482911a5b3;size=28	0.7366	0.7366	1	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
ba4f45707dbbf5d886eede5865a18dd4a8317f31;size=52	0.7026	0.7062	0.9914	0.9964	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
0dca65d1d2374cd72992689318bff13f79b9c2a3;size=448	0.5402	0.5402	1	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
9288ffbe3ed2f4134ebce8c292bbaf258afcd5fb;size=36	0.9989	1	0.9989	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
6c5a168eda0ad39faf97e66b218f571a489787a9;size=113	0.9897	0.9897	0.9897	0.9897	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
f4d284368984baf3d2225b862e79bab909bb438c;size=400	0.8523	0.8523	0.8523	0.8523	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
7e9b24997a7ac7fc099e50bdf721d9db37a72815;size=84	0.8622	0.8673	0.8622	0.8673	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
19a98e5eecda725efb96f21b6e7f3e94ce303683;size=23	0.8357	0.8357	1	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
9a73f4581a7e0fb9c21d6f35bb0fba887a2d8839;size=12	0.8473	0.848	0.8473	0.848	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
892dedc0e31e8e33900196d682d437ff463e7ec6;size=19	0.8221	0.8909	0.898	0.9732	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
2f2108b10b0aadfd3cd1c3fdff52e092d114ca66;size=241	0.8019	0.8159	0.9592	0.976	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
4ce14908600dd25fd9227bb43097d5d8098b2771;size=14	0.8484	0.8497	0.9243	0.9257	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
1c0c059bb7e472b76d52f3c87315fc1289ebc2b7;size=10	0.7758	0.7788	0.9629	0.9668	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
03cb7284fe072da7b750cd47a6d8e6efa147d619;size=147	0.8352	0.8352	0.8352	0.8352	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
be4a784e2c91f279de70ff196d278c3beea5a207;size=485	0.9294	0.9344	0.9294	0.9344	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
2a52f635d1974a89bd6691c3cc76211209905afa;size=12	0.8879	0.8985	0.8879	0.8985	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
1bdb6d33c736825a16142ffb139c4dbe5761f528;size=71	0.9685	0.9838	0.9686	0.9838	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
1a4f1f7aefb5c7704c89405bfca253aff76bec3c;size=158	0.9005	0.9038	0.9005	0.9038	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	Freshwater environmental sequence
ab06ac851bba39668041e8cb5a55917e631467b1;size=998	0.969	0.9838	0.969	0.9839	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
f09f72248e0671a2759f0dcd8dc807bbcc218b44;size=17	0.9849	0.9872	0.9866	0.9889	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
74bd78fdc31d0d5d8be584759b5a8bf704a478ca;size=108	0.9199	0.9199	0.9199	0.9199	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
6cfe3c841daff6b5770949dcacfe79c82df2443d;size=71	0.9257	0.9485	0.9585	0.982	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
19c3ba39ae0ac5e93005557f8004d53063edca8c;size=72	0.711	0.7122	0.9769	0.9786	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
6a40489e25cf30d2d1be4cd92ef6da70c6432da4;size=99	0.7092	0.7416	0.9541	0.9977	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
22710a7926e6c48f6362cd8498154902c29e0abf;size=18	0.7212	0.7419	0.9721	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
eb82ab4ee3fc348b236c1609b8bf744b77165851;size=1173	0.7195	0.7271	0.9895	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
836c9fc8dde9fb066264451ec86cf23316f65eff;size=56	0.5779	0.5779	1	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
0b947b8d7dea6e049f8d40792f2af78ecdb6dcba;size=78	0.6689	0.6834	0.9789	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
44ec05b27b0a043842e84042caec52c4b6666115;size=108	0.9377	0.9773	0.9377	0.9773	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
276cd122e14bac2213846dccb37b443a8ba5e03d;size=18	0.6806	0.7158	0.9504	0.9995	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
2b16e82911db21efff676d86bd42b4d2d979b751;size=11	0.9756	0.9896	0.9757	0.9897	Eukaryota;SAR;Alveolata;Perkinsea;PERK01	Eukaryota	SAR	Alveolata	Perkinsea	PERK01	NA
b401766f286980fe24ad8aba30ae9b0ecbe9cdb5;size=10	0.755	0.7752	0.9722	0.9981	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
11da5aee4872baaf379f2b5b4672a9aba5cbf53f;size=13	0.6257	0.6326	0.9891	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
0e39f505083f66b9ba4bc1f5f781ab125f8477d3;size=45	0.9358	0.9563	0.9544	0.9753	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
f9fbc76f6bae51eba226c4382fb8b86d27e5db45;size=28	0.7825	0.8326	0.9298	0.9893	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
085dddfd7cc905ca5f9eb66d44cb743e74ffed55;size=11	0.8554	0.9038	0.9288	0.9814	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
817329b103f37d0fa0654e6fccddca2b79d66ad0;size=10	0.7808	0.8216	0.9378	0.9869	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
fd0e89018c312763aaa5e29d097d35d8501f5184;size=73	0.7222	0.7261	0.9946	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
8a04f7b3e9549cf01d7b1f6964602645e046af1d;size=51	0.9421	0.9506	0.9467	0.9552	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
96bf285c31d448f7b8cc02f9d4c4341d67e7dafc;size=13	0.6774	0.687	0.986	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
cc3f49d87373b650b3e81561ae4096c64772ae7b;size=268	0.702	0.7095	0.9894	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
d9bc3def3228b8204c1c72e5d5056a3c5fa05d48;size=99	0.7089	0.7156	0.9861	0.9955	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
bed2263b50cbdf70ecd320880bbc14ed5be4cfb2;size=22	0.5894	0.5901	0.9989	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
1efa804760d46214f8a8f55730ba5fb5e42461a5;size=21	0.9142	0.9462	0.9316	0.9641	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
4c83ad2f3dd1690e4440f116ecb594f7d6f24b39;size=16	0.5428	0.546	0.5428	0.546	Eukaryota;SAR;Alveolata;Perkinsea;Perkinsea_X;Environmental sequence Sphagnum bog	Eukaryota	SAR	Alveolata	Perkinsea	Perkinsea_X	Environmental sequence Sphagnum bog
8eaacabc559d3d8f5a782ae32da3bddcf95a7c33;size=548	0.5719	0.572	0.9998	1	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
2e7efc2afc4b21b2cc44328fa1c17682ccfc23ef;size=42	0.7845	0.8113	0.9626	0.9955	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
84235b87c524a0c6376de61675e4a3872c62e4fb;size=1587	0.7231	0.7233	0.9653	0.9655	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
ab713654ae523efc6dba32be31e069c54dabd12c;size=26	0.9671	0.9759	0.9672	0.9759	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d78bf08989b3bf850a7dbf4d96887f32e8a68d13;size=95	0.9196	0.924	0.9196	0.924	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
bff55479ac23be069ae77369d5469906cecced72;size=10	0.9816	0.9912	0.9817	0.9913	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
35d900afaeb7204fb332b81bd7e65e8bc84ddc7b;size=119	0.9674	0.968	0.996	0.9967	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
3f00f20c50db20b7e06f3e75a0fbe1a28c28d092;size=16	0.9842	0.9858	0.9842	0.9858	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
df287f3dba630301cb280594d54c78b5be9069f7;size=141	0.5268	0.5286	0.9187	0.9218	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
fff550575a912bebb9bcec21170d8c202b7bbe41;size=36	0.8488	0.8547	0.8646	0.8706	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
0c076dc94cf3059a136a59460c290b5ed2e4a263;size=33	0.8549	0.8549	0.994	0.994	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
1f4fa9a90d81159834905730d7afa9a83d0da5ca;size=162	0.9525	0.9526	0.9968	0.9969	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
bfd773d4cad87be9a7e6106fc0ae303477cf3654;size=194	0.6872	0.6887	0.9862	0.9883	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
2cdb5144e1ce78ab46bbf9c659bbaf617f771bca;size=1101	0.9079	0.9081	0.9896	0.9897	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d749e4c6c4e9c2d00cd7f197218aa7adfa2a9cec;size=13	0.9589	0.9709	0.9589	0.9709	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
5cf7bd9f890ec096ebbe49717050a7657f950863;size=91	0.6635	0.6647	0.9982	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
f9829dc9f2a58de489e90d48c2d799f44efd5378;size=13	0.9752	0.9766	0.9753	0.9766	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
e13e58de7396a3b5ba4e68cb805c28372320205a;size=15	0.9221	0.9237	0.9221	0.9237	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d1aa2a454c02e0d54b53fd26274f45cd06621e7f;size=29	0.9133	0.92490000000000006	0.9197	0.9314	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
380faab53ff28f66069ac43c5ee44d9a21bb33a9;size=277	0.9966	0.9973	0.9967	0.9975	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d62d7791795cdec8456652a9227386ced2dc0b09;size=83	0.9128	0.9232	0.9128	0.9232	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
cf6b42bd78e88f0f2d2409cf7dc4e4fa9a3c5e89;size=11	0.7887	0.7971	0.9106	0.9202	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
fbf135a836a79b95e31bad165a5e2c15f2a8bba0;size=50	0.9033	0.923	0.9033	0.923	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
93eecda752e856f2b94bf7bfd1168ce80996ed45;size=434	0.7136	0.7137	0.9742	0.9744	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
82d4111316749a5cb854c75504c144b6a3c0706e;size=16	0.6043	0.6047	0.9234	0.9241	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
b73a1340fdf030755cf671e02ff37d45bc592166;size=155	0.9966	0.9966	0.9967	0.9967	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
f9e9a835f34852cb06b25116c19f730db00c1257;size=23	0.7235	0.7254	0.9875	0.99	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
1bc7b19ddad4a206ed00b2522eaa19ab7b886633;size=36	0.4773	0.478	0.4773	0.478	Eukaryota;SAR;Alveolata;Perkinsea;PERK02;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	Freshwater environmental sequence
7804bcce1eebf90281c7bda50ea74b02ac65ed4b;size=36	0.9742	0.9866	0.9765	0.9889	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
b2c61634dc2915fceb406fa91a8a76a582d73751;size=11	0.9753	0.9761	0.9753	0.9761	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
aa1418b4c6b5748826402ea602d11e0c5ce5f3bd;size=14	0.9696	0.9696	0.9966	0.9967	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
198832f7b64bd69c6fc517dd56cfbbcfe8e3061c;size=58	0.6684	0.6698	0.9978	0.9999	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
b27be870763535b18fef0a607dcccf81311873a5;size=207	0.9972	0.9976	0.9973	0.9977	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
3a9ceda54e632d60f155a259f327228f08c0ff56;size=11	0.9837	0.9876	0.9838	0.9877	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
43eeee2e1f793c38395ea55ce648c4cdc3912ea9;size=90	0.5419	0.5463	0.9214	0.929	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
0b7014b2b55e6fd4eaf4d10b7a1a7c5d80563550;size=14	0.9202	0.9203	0.9729	0.9729	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
e605d43cec00028976ab4218804aadc18d010798;size=29	0.9632	0.9642	0.9634	0.9644	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
308335d6ef049e1a3242fea8fa937b4ab2d998c4;size=374	0.9101	0.9355	0.9117	0.9372	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
9fd3d5a30d2bc394b51b43c5978c701af8c62a92;size=49	0.9109	0.9112	0.9979	0.9982	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
fe3c5581c77496ae877aa54fa5b4ba91875858c6;size=13	0.973	0.9864	0.973	0.9864	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
c0ee05a51c4c7b53c3871a898a1685ceae0232cb;size=15	0.9696	0.9791	0.9696	0.9791	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
850859d78acc3eda25cb282457af71d04f08b09d;size=261	0.98	0.9862	0.98	0.9862	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
18d08dc75e76d03c1f1f39dc8c69401af657a06f;size=21	0.4618	0.462	0.4618	0.462	Eukaryota;SAR;Alveolata;Perkinsea;PERK02;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	Freshwater environmental sequence
e73b5acaea0348a2d289235e2d40ce2d114ec2d4;size=154	0.9494	0.9515	0.9495	0.9516	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
66224a69ec6f5f3d8bd5c7198bdcdc88883d45d2;size=25	0.9061	0.9194	0.9062	0.9194	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
da3168463c6a34e89efcba2ec7d41d6c91d171ff;size=503	0.9221	0.9256	0.9221	0.9256	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
e73d6ab02142c9353b362d9d15d45f9b0a8db17a;size=11	0.9946	0.9964	0.9946	0.9964	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
013ca96c9ce1a2ba163e56e091264eb98a7abd4c;size=56	0.9725	0.9918	0.9726	0.9918	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
5a09367e9587fe528d9cc3b82d108fdee3e28028;size=212	0.7101	0.7125	0.9208	0.9239	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d529c2132c45b18cffdcd24fd880e3bda2a61bb2;size=15	0.9098	0.9314	0.9098	0.9314	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
8c244baf88685310e3d6243031b607442584b530;size=14	0.9177	0.9231	0.9177	0.9231	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
f822e6cdce6fc93a6b91079509b700421b715695;size=177	0.7176	0.7196	0.9663	0.969	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
78c5750bac67c8e2250a307ba7e61ef1a213e822;size=521	0.9871	0.9871	0.9872	0.9872	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
edd2712e6dcaabbd4618824c7ca141ac8dfa5b10;size=20	0.4618	0.462	0.4618	0.462	Eukaryota;SAR;Alveolata;Perkinsea;PERK02;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	Freshwater environmental sequence
e9a832059ad6b875b9f2b12af92767610c9e0453;size=882	0.9391	0.9448	0.9392	0.9449	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
bd97cfc807d701b1288871ef6a040f9aa895f8c3;size=31	0.7055	0.7055	1	1	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
ba8b3076b601e68caf9cee06627dd41c35b0545f;size=100	0.9955	0.9955	0.9956	0.9956	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
614ce34abc0672951a25c8a1e8b5e8158eadc404;size=28	0.9173	0.9237	0.9173	0.9237	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d484da5b2802c6d4588dfd0bf7520d82d2279e93;size=694	0.8538	0.8547	0.9494	0.9504	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
f823f25c7e7234302785e33f4afac21a1c6f49ab;size=57	0.914	0.9247	0.9845	0.996	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
6d943dca556909431f7abafbb2477bc2ec92321a;size=14	0.9417	0.9513	0.9418	0.9514	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
ed1a7516439b92d344e8a327245345bc45a92446;size=228	0.974	0.974	0.974	0.974	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
807a822ed9206b28013b811d64ce4601e8881ee5;size=12	0.9611	0.9611	0.9611	0.9612	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
914cd80dc4e2fb2a32d5a1071d3472d243be29c4;size=32	0.9739	0.9739	0.9739	0.9739	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
16f6f6597ba90b9a59ae05edddd5703698588b32;size=374	0.9351	0.9491	0.9351	0.9491	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
d58488c0930df0672bb13218514a148926803102;size=37	0.9724	0.9724	0.9724	0.9724	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
4942b84ab9fecb9b7f9d08056b82d221f68ddc44;size=48	0.7911	0.792	0.9815	0.9827	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
bd5d96b2c292f17cb9ac647ae21129074bf2c700;size=56	0.916	0.9229	0.916	0.9229	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
bc3b115a452bb97e7ad3f0f8763f3b4116f68a21;size=18	0.9702	0.9703	0.9702	0.9703	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
a55e77b13cfbc16e9b55d6e70daa89e0f1d34607;size=81	0.915	0.9244	0.915	0.9244	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
6909fc4caed1c2b625cc54665e1457df49ab3341;size=699	0.9657	0.9657	0.9657	0.9657	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
9645d4f65a0d614ac5f786f34feab33fc9f4c3aa;size=120	0.9354	0.9354	0.9354	0.9354	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
3f6ca8dae841b33a4272395136502b58387bd174;size=56	0.9427	0.9475	0.9427	0.9475	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
7661f1ab87e4ffa8a00480adba9267fceb90b243;size=13	0.9633	0.9633	0.9633	0.9633	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
a5971bf1174a65b90a0a7a52c9834b8b4d3016e3;size=17	0.9571	0.9571	0.9572	0.9572	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
b9f88b2c0da8eca5fffa5cf2f82408d29a92e2ca;size=34	0.9285	0.9303	0.9286	0.9303	Eukaryota;SAR;Alveolata;Perkinsea;PERK02	Eukaryota	SAR	Alveolata	Perkinsea	PERK02	NA
