Sample	Station	Depth	Fraction	Extract	lat	long	Ocean	Sub_ocean	Long_prov	Dataset	Layer	Layer2	Leg	Date	Notes	Temp	Cond	Ox_v	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox_mL_L
D1007	55	715	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	27/02/2011	DSL	9.7443	3.7923	2.1666	0.018274	1.00E-12	590.32	-9.99E-29	4.8469	34.754	4.8047
R1007	55	715	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	27/02/2011	DSL	9.7443	3.7923	2.1666	0.018274	1.00E-12	590.32	-9.99E-29	4.8469	34.754	4.8047
D1005	55	1065	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	27/02/2011	min sal	4.9344	3.3351	1.717	0.020756	1.00E-12	720.35	0.02	4.8002	34.4	4.0847
R1005	55	1065	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	27/02/2011	min sal	4.9344	3.3351	1.717	0.020756	1.00E-12	720.35	0.02	4.8002	34.4	4.0847
D1003	55	2500	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	27/02/2011	max sal	1.9362	3.1564	1.3636	-9.99E-29	1.00E-12	-9.99E-29	0.018	4.811	34.725	3.7277
R1003	55	2500	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	27/02/2011	max sal	1.9362	3.1564	1.3636	-9.99E-29	1.00E-12	-9.99E-29	0.018	4.811	34.725	3.7277
D1001	55	4000	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	27/02/2011	NA	1.1253	3.1399	1.2892	0.021938	1.00E-12	62.648	0.013	4.8326	34.709	4.2287
R1001	55	4000	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	27/02/2011	NA	1.1253	3.1399	1.2892	0.021938	1.00E-12	62.648	0.013	4.8326	34.709	4.2287
MD1035	56	3	Pico	DNA	-29.561	72.444	IO	IO	ISSG	Surface	Surface	Photic	3	28/02/2011	Botellón superficie	24.466	5.357	2.6966	0.026822	160.43	900.39	-9.99E-29	6.3305	35.792	4.426
MD1042	57	3	Pico	DNA	-29.904	76.093	IO	IO	ISSG	Surface	Surface	Photic	3	01/03/2011	Botellón superficie	24.555	5.3529	2.6844	0.02738	160.99	597.6	0.031	7.5546	35.689	4.4011
MD1080	58	3	Pico	DNA	-29.828	79.611	IO	IO	ISSG	Surface	Surface	Photic	3	02/03/2011	Botellón superficie	23.129	5.2466	2.7104	0.027341	62.881	1758.7	0.029	-9.99E-29	36.032	4.5494
MD1100	59	3	Pico	DNA	-29.811	82.623	IO	IO	ISSG	Surface	Surface	Photic	3	03/03/2011	Botellón superficie	22.427	5.1855	2.7168	0.024337	141.01	932.94	0.031	-9.99E-29	36.135	4.5995
MD1125	60	3	Pico	DNA	-29.749	86.257	IO	IO	ISSG	Surface	Surface	Photic	3	04/03/2011	Botellón superficie	22.476	5.1685	2.7099	0.022784	292.28	955.25	0.031	8.0121	35.962	4.5924
MD1143	62	3	Pico	DNA	-29.627	92.984	IO	IO	ISSG	Surface	Surface	Photic	3	06/03/2011	Botellón superficie	23.079	5.1653	2.6854	0.028512	125.75	569.81	-9.99E-29	18.114	35.444	4.5097
MD1176	63	3	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Surface	Surface	Photic	3	07/03/2011	Botellón superficie	21.738	5.0686	2.7043	0.031687	131.8	406.41	0.03	19.992	35.785	4.6425
D1170	63	3	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Surface	Photic	3	07/03/2011	Botellón superficie	21.738	5.0686	2.7043	0.031687	131.8	406.41	0.03	19.992	35.785	4.6425
R1170	63	3	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Surface	Photic	3	07/03/2011	Botellón superficie	21.738	5.0686	2.7043	0.031687	131.8	406.41	0.03	19.992	35.785	4.6425
D1172	63	115	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	DCM	Photic	3	07/03/2011	DCM	16.003	4.4724	2.6501	0.17332	1.7038	388.11	0.039	20.005	35.684	5.0726
R1172	63	115	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	DCM	Photic	3	07/03/2011	DCM	16.003	4.4724	2.6501	0.17332	1.7038	388.11	0.039	20.005	35.684	5.0726
D1180	63	420	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	07/03/2011	max O2	10.8	3.8927	2.4162	0.016698	1.00E-12	334.37	0.021	20.155	34.889	5.2105
R1180	63	420	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	07/03/2011	max O2	10.8	3.8927	2.4162	0.016698	1.00E-12	334.37	0.021	20.155	34.889	5.2105
D1168	63	650	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	07/03/2011	DSL	9.214	3.7318	2.2327	0.017126	1.00E-12	-9.99E-29	0.02	20.155	34.668	5.0141
R1168	63	650	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	07/03/2011	DSL	9.214	3.7318	2.2327	0.017126	1.00E-12	-9.99E-29	0.02	20.155	34.668	5.0141
D1158	63	950	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	06/03/2011	min sal	4.9938	3.333	1.7778	0.019536	1.00E-12	256.64	0.018	20.24	34.374	4.2212
R1158	63	950	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	06/03/2011	min sal	4.9938	3.333	1.7778	0.019536	1.00E-12	256.64	0.018	20.24	34.374	4.2212
D1160	63	1790	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	06/03/2011	max sal	2.6931	3.1906	1.3579	-9.99E-29	1.00E-12	138.29	0.019	-9.99E-29	34.675	3.3142
R1160	63	1790	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	06/03/2011	max sal	2.6931	3.1906	1.3579	-9.99E-29	1.00E-12	138.29	0.019	-9.99E-29	34.675	3.3142
D1156	63	2600	Pico	DNA	-29.574	96.407	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	06/03/2011	NA	1.7895	3.1479	1.3695	0.020839	1.00E-12	74.858	0.017	20.325	34.729	3.8265
R1156	63	2600	Pico	RNA	-29.574	96.407	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	06/03/2011	NA	1.7895	3.1479	1.3695	0.020839	1.00E-12	74.858	0.017	20.325	34.729	3.8265
MD1186	64	3	Pico	DNA	-30.333	103.308	IO	IO	ISSG	Surface	Surface	Photic	3	08/03/2011	Botellón superficie	21.737	5.0413	2.7009	0.029677	67.056	1760.6	0.031	19.992	35.569	4.6417
MD1209	65	3	Pico	DNA	-30.328	103.317	IO	IO	ISSG	Surface	Surface	Photic	3	09/03/2011	Botellón superficie	21.78	5.0694	2.7005	0.026297	1152.8	2071.1	0.922	19.992	35.757	4.6307
MD1222	66	3	Pico	DNA	-30.811	107.237	IO	IO	AUSW	Surface	Surface	Photic	3	10/03/2011	Botellón superficie	23.049	5.1738	2.692	0.039093	217.25	669.06	0.035	-9.99E-29	35.534	4.5269
MD1246	67	3	Pico	DNA	-31.134	110.207	IO	IO	AUSW	Surface	Surface	Photic	3	11/03/2011	Botellón superficie	22.994	5.1627	2.7019	0.039825	124.79	556.15	0.059	23.267	35.493	4.551
MD1254	68	3	Pico	DNA	-31.554	113.467	IO	IO	AUSW	Surface	Surface	Photic	3	11/03/2011	Botellón superficie	24.799	5.3314	2.6698	0.032004	64.154	1332.7	0.034	23.253	35.336	4.3597
MD1260	68	3	Pico	DNA	-31.554	113.467	IO	IO	AUSW	Surface	Surface	Photic	3	11/03/2011	Botellón superficie	24.799	5.3314	2.6698	0.032004	64.154	1332.7	0.034	23.253	35.336	4.3597
MD1293	69	3	Pico	DNA	-35.983	117.407	IO	IO	AUSW	Surface	Surface	Photic	4	18/03/2011	NA	21.355	4.9977	2.6872	0.039724	0.81981	4.1281	0.048	22.306	35.539	4.6385
MD1302	70	3	Pico	DNA	-36.639	120.856	SAB	SAB	SSTC	Surface	Surface	Photic	4	19/03/2011	NA	19.545	4.8194	2.6909	0.053444	32.169	161	0.035	23.647	35.61	4.7956
MD1318	71	3	Pico	DNA	-37.239	124.898	SAB	SAB	SSTC	Surface	Surface	Photic	4	20/03/2011	NA	18.181	4.6591	2.7095	0.058609	112.22	613.11	0.032	23.267	35.435	4.9599
MD1324	71	3	Pico	DNA	-37.239	124.898	SAB	SAB	SSTC	Surface	Surface	Photic	4	20/03/2011	NA	18.181	4.6591	2.7095	0.058609	112.22	613.11	0.032	23.267	35.435	4.9599
MD1331	72	3	Pico	DNA	-37.889	127.75	SAB	SAB	SSTC	Surface	Surface	Photic	4	21/03/2011	NA	17.498	4.5638	2.7165	0.05484	175.6	1427.3	-9.99E-29	24.067	35.208	5.0406
MD1354	73	3	Pico	DNA	-38.578	131.507	SAB	SAB	SSTC	Surface	Surface	Photic	4	22/03/2011	NA	17.627	4.6	2.7067	0.032451	342.54	2317.6	0.048	-9.99E-29	35.408	4.9977
MD1368	74	3	Pico	DNA	-39.243	135.139	SAB	SAB	SSTC	Surface	Surface	Photic	4	23/03/2011	NA	16.492	4.4701	2.7038	0.061974	272.77	1574.5	0.049	23.267	35.271	5.092
MD1398	75	3	Pico	DNA	-39.867	138.735	SAB	SAB	SSTC	Surface	Surface	Photic	4	24/03/2011	NA	15.941	4.4036	2.7084	0.21146	1.5638	10.32	0.117	-9.99E-29	35.168	5.1627
MD1421	76	3	Pico	DNA	-40.55	142.497	SAB	SAB	SSTC	Surface	Surface	Photic	4	25/03/2011	NA	15.749	4.3647	2.7236	0.19654	0.94191	4.1281	0.066	-9.99E-29	34.99	5.2255
MD1425	77	3	Pico	DNA	-38.621	150.417	SAB	SAB	AUSE	Surface	Surface	Photic	4	27/03/2011	NA	21.142	4.9665	2.6492	0.067628	93.479	324.05	-9.99E-29	23.073	35.466	4.572
MD1459	78	3	Pico	DNA	-36.642	151.006	SAB	SAB	AUSE	Surface	Surface	Photic	4	28/03/2011	NA	21.641	5.0321	2.6626	0.082868	9.8126	64.566	0.055	22.306	35.576	4.5678
MD1475	79	3	Pico	DNA	-34.056	176.016	PO	SPO	SPSG	Surface	Surface	Photic	5	17/04/2011	botellon	21.036	4.9611	2.6723	0.036785	151	979.7	0.039	21.773	35.51	4.6419
MD1479	81	3	Pico	DNA	-28.406	179.141	PO	SPO	SPSG	Surface	Surface	Photic	5	18/04/2011	superficie	24.23	5.3098	2.6799	0.04879	0.27363	4.1281	0.1	-0.0133	35.624	4.4135
MD1490	82	3	Pico	DNA	-25.49	-179.524	PO	SPO	SPSG	Surface	Surface	Photic	5	19/04/2011	superficie	23.994	5.2808	2.6808	0.038691	0.71864	4.1281	0.032	-0.0215	35.594	4.4289
MD1517	83	3	Pico	DNA	-23.377	-178.211	PO	SPO	SPSG	Surface	Surface	Photic	5	20/04/2011	surface botellon	26.67	5.521	2.6635	0.039574	1.8581	8.2562	0.037	-0.0118	35.277	4.2173
MD1537	85	3	Pico	DNA	-18.561	-175.823	PO	SPO	SPSG	Surface	Surface	Photic	5	22/04/2011	superficie	28.544	5.6187	2.6993	0.036987	0.77307	4.1281	0.043	-0.0082	34.57	4.177
MD1559	86	3	Pico	DNA	-15.903	-174.487	PO	SPO	SPSG	Surface	Surface	Photic	5	23/04/2011	superficie	29.12	5.6592	2.6878	0.033148	60.887	1467.9	0.031	-0.0055	34.432	4.1201
MD1589	87	3	Pico	DNA	-13.531	-173.372	PO	SPO	SPSG	Surface	Surface	Photic	5	24/04/2011	superficie	29.312	5.7548	2.7011	0.02302	580.89	1213.8	0.033	-0.002	34.948	4.1221
MD1607	88	3	Pico	DNA	-11.242	-172.63	PO	SPO	SPSG	Surface	Surface	Photic	5	25/04/2011	superficie	29.251	5.7854	2.6955	0.028495	88.478	410.12	0.029	-0.0086	35.202	4.1081
MD1629	89	3	Pico	DNA	-9.474	-172.298	PO	SPO	SPSG	Surface	Surface	Photic	5	26/04/2011	superficie	29.137	5.7787	2.698	0.027908	646.02	2066.4	0.03	0.0012	35.239	4.1195
MD1672	92	3	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Surface	Surface	Photic	5	29/04/2011	superficie	28.132	5.6924	2.7147	0.11663	135.79	365.21	0.037	0.0712	35.388	4.2151
D1672	92	3	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Surface	Photic	5	29/04/2011	superficie	28.132	5.6924	2.7147	0.11663	135.79	365.21	0.037	0.0712	35.388	4.2151
R1672	92	3	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Surface	Photic	5	29/04/2011	superficie	28.132	5.6924	2.7147	0.11663	135.79	365.21	0.037	0.0712	35.388	4.2151
D1684	92	65	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	DCM	Photic	5	29/04/2011	DCM	28.034	5.6887	2.6962	0.1678	3.5444	1010.1	0.04	0.0665	35.418	4.2207
R1684	92	65	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	DCM	Photic	5	29/04/2011	DCM	28.034	5.6887	2.6962	0.1678	3.5444	1010.1	0.04	0.0665	35.418	4.2207
D1668	92	450	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	29/04/2011	min O2	8.4702	3.6518	1.0945	0.023199	1.00E-12	636.87	0.018	0.0165	34.645	1.6692
R1668	92	450	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	29/04/2011	min O2	8.4702	3.6518	1.0945	0.023199	1.00E-12	636.87	0.018	0.0165	34.645	1.6692
D1666	92	580	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	29/04/2011	DSL	7.4209	3.5559	1.0146	0.023928	1.00E-12	421.25	0.019	0.0155	34.593	1.4822
R1666	92	580	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	29/04/2011	DSL	7.4209	3.5559	1.0146	0.023928	1.00E-12	421.25	0.019	0.0155	34.593	1.4822
D1664	92	650	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	29/04/2011	min sal	6.7133	3.4915	1.0768	0.023629	1.00E-12	366.94	0.018	0.0142	34.562	1.7184
R1664	92	650	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	29/04/2011	min sal	6.7133	3.4915	1.0768	0.023629	1.00E-12	366.94	0.018	0.0142	34.562	1.7184
D1662	92	1500	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Bathypelagic	Aphotic	5	29/04/2011	NA	2.997	3.199	1.1172	0.023686	1.00E-12	30.933	0.015	0.0099	34.603	2.2494
R1662	92	1500	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Bathypelagic	Aphotic	5	29/04/2011	NA	2.997	3.199	1.1172	0.023686	1.00E-12	30.933	0.015	0.0099	34.603	2.2494
D1660	92	4000	Pico	DNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_DNA	Bathypelagic	Aphotic	5	29/04/2011	fondo	1.4013	3.1627	1.1739	0.021223	1.00E-12	4.0869	0.013	0.0074	34.696	3.5714
R1660	92	4000	Pico	RNA	-3.41	-169.463	PO	NPO	PEQD	Vertical_RNA	Bathypelagic	Aphotic	5	29/04/2011	fondo	1.4013	3.1627	1.1739	0.021223	1.00E-12	4.0869	0.013	0.0074	34.696	3.5714
MD1700	93	3	Pico	DNA	-1.303	-168.354	PO	NPO	PEQD	Surface	Surface	Photic	5	30/04/2011	superficie	27.486	5.6232	2.7255	0.11829	164.26	1249.7	0.047	0.0782	35.387	4.2814
MD1724	94	3	Pico	DNA	1.599	-166.85	PO	NPO	PEQD	Surface	Surface	Photic	5	01/05/2011	superficie	27.22	5.5538	2.6529	0.14012	138.86	996.36	0.044	0.0823	35.096	4.1651
MD1744	95	3	Pico	DNA	3.748	-165.773	PO	NPO	PEQD	Surface	Surface	Photic	5	02/05/2011	superficie	27.579	5.579	2.6957	0.19105	0.8013	-9.99E-29	0.051	0.081	35.004	4.2248
MD1772	96	3	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Surface	Surface	Photic	5	03/05/2011	superficie	27.352	5.5302	2.7009	0.11257	160.45	737.84	0.041	0.0728	34.829	4.2541
D1758	96	3	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Surface	Photic	5	03/05/2011	superficie	27.352	5.5302	2.7009	0.11257	160.45	737.84	0.041	0.0728	34.829	4.2541
R1758	96	3	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Surface	Photic	5	03/05/2011	superficie	27.352	5.5302	2.7009	0.11257	160.45	737.84	0.041	0.0728	34.829	4.2541
D1770	96	80	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	DCM	Photic	5	03/05/2011	DCM	26.368	5.4317	2.5971	0.1799	3.6793	1395	0.038	0.0578	34.839	4.18
R1770	96	80	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	DCM	Photic	5	03/05/2011	DCM	26.368	5.4317	2.5971	0.1799	3.6793	1395	0.038	0.0578	34.839	4.18
D1768	96	400	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	03/05/2011	min O2	8.8742	3.6859	0.6765	0.026003	1.00E-12	1180.8	0.022	0.0209	34.634	0.44742
R1768	96	400	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	03/05/2011	min O2	8.8742	3.6859	0.6765	0.026003	1.00E-12	1180.8	0.022	0.0209	34.634	0.44742
D1766	96	600	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	03/05/2011	NA	6.9917	3.5146	0.7183	0.025246	1.00E-12	1274.5	0.018	-9.99E-29	34.561	0.60661
R1766	96	600	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	03/05/2011	NA	6.9917	3.5146	0.7183	0.025246	1.00E-12	1274.5	0.018	-9.99E-29	34.561	0.60661
D1764	96	750	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Mesopelagic	Aphotic	5	03/05/2011	DSL/min sal	5.9558	3.4265	0.7786	0.025039	1.00E-12	1155.1	0.018	0.0128	34.554	0.82247
R1764	96	750	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Mesopelagic	Aphotic	5	03/05/2011	DSL/min sal	5.9558	3.4265	0.7786	0.025039	1.00E-12	1155.1	0.018	0.0128	34.554	0.82247
D1762	96	2000	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Bathypelagic	Aphotic	5	03/05/2011	CDW	2.1537	3.1495	1.0618	0.0238	1.00E-12	156.91	0.018	-9.99E-29	34.649	2.2314
R1762	96	2000	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Bathypelagic	Aphotic	5	03/05/2011	CDW	2.1537	3.1495	1.0618	0.0238	1.00E-12	156.91	0.018	-9.99E-29	34.649	2.2314
D1760	96	4000	Pico	DNA	6.992	-164.372	PO	NPO	PEQD	Vertical_DNA	Bathypelagic	Aphotic	5	03/05/2011	fondo-CDW	1.4126	3.1635	1.1599	0.021553	1.00E-12	4.1281	0.014	0.0042	34.695	3.4981
R1760	96	4000	Pico	RNA	6.992	-164.372	PO	NPO	PEQD	Vertical_RNA	Bathypelagic	Aphotic	5	03/05/2011	fondo-CDW	1.4126	3.1635	1.1599	0.021553	1.00E-12	4.1281	0.014	0.0042	34.695	3.4981
MD1798	97	3	Pico	DNA	9.201	-163.495	PO	NPO	PEQD	Surface	Surface	Photic	5	04/05/2011	superficie	26.888	5.485	2.7049	0.084228	274.21	1858.3	0.042	0.1024	34.854	4.2924
MD1811	98	3	Pico	DNA	11.593	-162.41	PO	NPO	NPTG	Surface	Surface	Photic	5	05/05/2011	superficie	26.348	5.3886	2.7066	0.030524	186.9	603.05	0.032	0.0579	34.567	4.344
MD1857	101	3	Pico	DNA	21.89	-155.664	PO	NPO	NPTG	Surface	Surface	Photic	6	14/05/2011	NA	24.651	5.2382	2.7239	0.020456	858.3	1520.7	0.057	0.3015	34.756	4.4962
MD1885	102	3	Pico	DNA	21.57	-153.418	PO	NPO	NPTG	Surface	Surface	Photic	6	15/05/2011	rechecked with CTD files cast 1	24.5895	5.258396	2.7319	0.030015	0.10966	-9.99E-29	0.036	0.2871	34.9541	4.51329
MD1887	103	3	Pico	DNA	21.064	-150.319	PO	NPO	NPTG	Surface	Surface	Photic	6	16/05/2011	NA	24.016	5.1477	2.7324	0.019126	857.58	2264.2	0.042	0.2712	34.569	4.5663
MD1928	104	3	Pico	DNA	20.784	-148.269	PO	NPO	NPTG	Surface	Surface	Photic	6	17/05/2011	NA	23.864	5.137	2.7241	0.023536	507.84	-9.99E-29	1.019	0.463	34.606	4.5536
MD1956	106	3	Pico	DNA	19.892	-141.59	PO	NPO	NPTG	Surface	Surface	Photic	6	19/05/2011	NA	23.386	5.0919	2.7246	0.079186	310.06	1053.4	0.037	0.2683	34.637	4.5899
MD1964	107	3	Pico	DNA	19.279	-138.965	PO	NPO	NPTG	Surface	Surface	Photic	6	20/05/2011	NA	22.348	5.0078	2.7279	0.090416	242.98	711.86	0.045	0.2678	34.81	4.6714
MD2004	108	3	Pico	DNA	18.653	-136.178	PO	NPO	NPTG	Surface	Surface	Photic	6	21/05/2011	NA	22.734	5.0341	2.7218	0.067917	423.8	1375.3	0.041	0.264	34.707	4.6332
MD2008	109	3	Pico	DNA	18.028	-133.26	PO	NPO	NPTG	Surface	Surface	Photic	6	22/05/2011	NA	22.015	4.9802	2.734	0.14297	0.67181	6.1921	0.024	0.2576	34.861	4.7089
MD2047	110	3	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Surface	Surface	Photic	6	23/05/2011	NA	21.649	4.9429	2.7246	0.10816	65.124	208.65	0.034	0.2423	34.862	4.7201
D2033	110	3	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Surface	Photic	6	23/05/2011	NA	21.649	4.9429	2.7246	0.10816	65.124	208.65	0.034	0.2423	34.862	4.7201
R2033	110	3	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Surface	Photic	6	23/05/2011	NA	21.649	4.9429	2.7246	0.10816	65.124	208.65	0.034	0.2423	34.862	4.7201
D2031	110	110	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	DCM	Photic	6	23/05/2011	DCM	20.086	4.762	2.5905	0.47004	1.5354	227.05	0.032	0.2413	34.646	4.6266
R2031	110	110	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	DCM	Photic	6	23/05/2011	DCM	20.086	4.762	2.5905	0.47004	1.5354	227.05	0.032	0.2413	34.646	4.6266
D2029	110	200	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Mesopelagic	Aphotic	6	23/05/2011	min sal	11.458	3.86	1.9527	0.0077768	1.00E-12	193.16	0.019	0.209	34.045	3.7928
R2029	110	200	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Mesopelagic	Aphotic	6	23/05/2011	min sal	11.458	3.86	1.9527	0.0077768	1.00E-12	193.16	0.019	0.209	34.045	3.7928
D2027	110	400	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Mesopelagic	Aphotic	6	23/05/2011	DSL	8.2226	3.6054	0.6554	-9.99E-29	1.00E-12	197.52	0.018	-9.99E-29	34.419	0.39536
R2027	110	400	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Mesopelagic	Aphotic	6	23/05/2011	DSL	8.2226	3.6054	0.6554	-9.99E-29	1.00E-12	197.52	0.018	-9.99E-29	34.419	0.39536
D2025	110	500	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Mesopelagic	Aphotic	6	23/05/2011	min O2	7.2511	3.5267	0.5829	0.014652	1.00E-12	216.71	-9.99E-29	0.2105	34.477	0.18724
R2025	110	500	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Mesopelagic	Aphotic	6	23/05/2011	min O2	7.2511	3.5267	0.5829	0.014652	1.00E-12	216.71	-9.99E-29	0.2105	34.477	0.18724
D2023	110	2000	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Bathypelagic	Aphotic	6	23/05/2011	NA	2.1272	3.1464	0.9873	0.010466	1.00E-12	187.58	0.013	-9.99E-29	34.639	1.9255
R2023	110	2000	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Bathypelagic	Aphotic	6	23/05/2011	NA	2.1272	3.1464	0.9873	0.010466	1.00E-12	187.58	0.013	-9.99E-29	34.639	1.9255
D2021	110	4000	Pico	DNA	17.37	-130.611	PO	NPO	NPTG	Vertical_DNA	Bathypelagic	Aphotic	6	23/05/2011	NA	1.4629	3.1676	1.1104	0.007326	1.00E-12	9.8827	0.012	-9.99E-29	34.691	3.2168
R2021	110	4000	Pico	RNA	17.37	-130.611	PO	NPO	NPTG	Vertical_RNA	Bathypelagic	Aphotic	6	23/05/2011	NA	1.4629	3.1676	1.1104	0.007326	1.00E-12	9.8827	0.012	-9.99E-29	34.691	3.2168
MD2051	112	3	Pico	DNA	15.909	-124.474	PO	NPO	NPTG	Surface	Surface	Photic	6	25/05/2011	NA	23.441	5.1025	2.6917	0.146	237.3	763.7	0.032	0.242	34.675	4.5213
MD2094	114	3	Pico	DNA	14.529	-118.774	PO	NPO	NPTG	Surface	Surface	Photic	6	27/05/2011	NA	24.912	5.2167	2.6976	0.082667	420.51	1755.8	0.042	0.2433	34.396	4.4332
MD2111	115	3	Pico	DNA	13.804	-115.756	PO	NPO	NPTG	Surface	Surface	Photic	6	28/05/2011	NA	26.278	5.3307	2.6776	0.19874	137.92	693.04	0.041	0.2494	34.201	4.2996
MD2151	116	3	Pico	DNA	13.205	-113.256	PO	NPO	PNEC	Surface	Surface	Photic	6	29/05/2011	NA	28.085	5.4958	2.6957	0.15699	272.96	1508.5	0.035	0.2331	34.048	4.212
MD2155	118	3	Pico	DNA	12.001	-108.076	PO	NPO	PNEC	Surface	Surface	Photic	6	31/05/2011	NA	28.212	5.5228	2.7059	0.13091	140.65	653.7	0.051	0.2228	34.145	4.2232
MD2215	119	3	Pico	DNA	11.354	-105.011	PO	NPO	PNEC	Surface	Surface	Photic	6	01/06/2011	NA	28.313	5.4582	2.6878	0.4856	52.734	1449.2	0.046	0.3124	33.625	4.1927
